category_en,category_zh,skill_name,description_en,description_zh,link,host_repo
Context and Agent Design,上下文与 Agent 设计,context-degradation,Diagnoses lost-in-the-middle and other context failure modes.,诊断 lost-in-the-middle 等上下文退化问题。,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/context-degradation,muratcankoylan/Agent-Skills-for-Context-Engineering
Context and Agent Design,上下文与 Agent 设计,context-compression,Compresses long sessions while preserving critical state.,在保留关键状态的前提下压缩长会话。,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/context-compression,muratcankoylan/Agent-Skills-for-Context-Engineering
Context and Agent Design,上下文与 Agent 设计,context-optimization,"Applies caching, masking, compaction, and partitioning to extend effective context capacity.",通过缓存、masking、compaction 和 partitioning 提升有效上下文容量。,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/context-optimization,muratcankoylan/Agent-Skills-for-Context-Engineering
Context and Agent Design,上下文与 Agent 设计,filesystem-context,"Uses files as an overflow layer for scratch pads, shared agent memory, and just-in-time context loading.",把文件系统作为上下文溢出层，用于草稿、共享记忆和按需加载。,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/filesystem-context,muratcankoylan/Agent-Skills-for-Context-Engineering
Context and Agent Design,上下文与 Agent 设计,latent-briefing,Studies KV-cache style latent handoff for reducing token cost in orchestrator-worker systems.,研究用 KV cache 式 latent handoff 降低 orchestrator-worker 系统的 token 成本。,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/latent-briefing,muratcankoylan/Agent-Skills-for-Context-Engineering
Context and Agent Design,上下文与 Agent 设计,evaluation,"Builds evaluation frameworks for agent systems with rubrics, regressions, and quality gates.",为 agent 系统构建 rubric、回归检测和质量门禁。,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/evaluation,muratcankoylan/Agent-Skills-for-Context-Engineering
Context and Agent Design,上下文与 Agent 设计,advanced-evaluation,Covers LLM-as-a-judge and bias-aware automated evaluation.,覆盖 LLM-as-a-judge 与偏差控制评测。,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/advanced-evaluation,muratcankoylan/Agent-Skills-for-Context-Engineering
Context and Agent Design,上下文与 Agent 设计,multi-agent-patterns,"Designs supervisor, swarm, and hierarchical multi-agent systems with clearer coordination.",设计 supervisor、swarm 和层级式多 agent 系统。,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/multi-agent-patterns,muratcankoylan/Agent-Skills-for-Context-Engineering
Context and Agent Design,上下文与 Agent 设计,memory-systems,Designs persistent agent memory and evaluates retrieval quality across sessions.,设计跨会话持久记忆，并评估长期检索质量。,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/memory-systems,muratcankoylan/Agent-Skills-for-Context-Engineering
Context and Agent Design,上下文与 Agent 设计,tool-design,Designs agent-facing tools and MCP interfaces with clearer contracts and less ambiguity.,设计更适合 agent 使用的工具和 MCP 接口，减少歧义。,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/tool-design,muratcankoylan/Agent-Skills-for-Context-Engineering
Context and Agent Design,上下文与 Agent 设计,dspy,Uses declarative prompt programming and optimizers for structured agent workflows.,用声明式提示编程和优化器构建结构化 agent 工作流。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/16-prompt-engineering/dspy,Orchestra-Research/AI-Research-SKILLs
Context and Agent Design,上下文与 Agent 设计,guidance,Controls generation with regexes and grammars for structured outputs and multi-step prompting.,用正则和语法约束生成，适合结构化输出和多步提示流程。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/16-prompt-engineering/guidance,Orchestra-Research/AI-Research-SKILLs
Context and Agent Design,上下文与 Agent 设计,instructor,"Produces Pydantic-validated structured outputs for extraction, labeling, and automation.",用 Pydantic 校验结构化输出，适合信息抽取、标注和自动化。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/16-prompt-engineering/instructor,Orchestra-Research/AI-Research-SKILLs
Context and Agent Design,上下文与 Agent 设计,outlines,Constrains generation with grammars and finite-state machines for structured outputs.,用语法和有限状态机约束生成结构化输出。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/16-prompt-engineering/outlines,Orchestra-Research/AI-Research-SKILLs
Writing and Scholarly Communication,写作与科研表达,doc,Creates and reviews DOCX documents with rendering checks.,创建和检查 DOCX 文档，并关注渲染结果。,https://github.com/openai/skills/tree/main/skills/.curated/doc,openai/skills
Writing and Scholarly Communication,写作与科研表达,pdf,"Reads, creates, and reviews PDFs when layout and rendering matter.",读取、生成并检查 PDF，适合关注版式和渲染的文档工作。,https://github.com/openai/skills/tree/main/skills/.curated/pdf,openai/skills
Writing and Scholarly Communication,写作与科研表达,huggingface-paper-publisher,Publishes papers on Hugging Face Hub and manages paper metadata.,在 Hugging Face Hub 上发布论文，并管理论文元数据。,https://github.com/huggingface/skills/tree/main/skills/huggingface-paper-publisher,huggingface/skills
Writing and Scholarly Communication,写作与科研表达,ml-paper-writing,"Writes publication-oriented ML, AI, and systems papers.",面向发表场景撰写 ML、AI 和系统论文。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/20-ml-paper-writing/ml-paper-writing,Orchestra-Research/AI-Research-SKILLs
Writing and Scholarly Communication,写作与科研表达,systems-paper-writing,"Provides paragraph-level blueprints for OSDI, SOSP, ASPLOS, NSDI, and EuroSys papers.",为 OSDI、SOSP、ASPLOS、NSDI、EuroSys 等系统论文提供段落级结构蓝图。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/20-ml-paper-writing/systems-paper-writing,Orchestra-Research/AI-Research-SKILLs
Literature Reading and Evidence Synthesis,文献阅读与证据综合,transcribe,"Transcribes interviews, meetings, or recorded talks with optional speaker diarization.",转写访谈、会议或录音讲座，并可选做说话人区分。,https://github.com/openai/skills/tree/main/skills/.curated/transcribe,openai/skills
Literature Reading and Evidence Synthesis,文献阅读与证据综合,whisper,"Runs multilingual speech recognition and translation for interviews, lectures, podcasts, and audio corpora.",用 Whisper 做多语种语音识别与翻译，适合访谈、讲座、播客和音频语料。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/18-multimodal/whisper,Orchestra-Research/AI-Research-SKILLs
Literature Reading and Evidence Synthesis,文献阅读与证据综合,huggingface-papers,Looks up Hugging Face paper pages and structured paper metadata.,查询 Hugging Face 论文页和结构化论文元数据。,https://github.com/huggingface/skills/tree/main/skills/huggingface-papers,huggingface/skills
Literature Reading and Evidence Synthesis,文献阅读与证据综合,llamaindex,Builds document ingestion and retrieval pipelines for research corpora.,搭建研究语料的文档接入与检索管线。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/14-agents/llamaindex,Orchestra-Research/AI-Research-SKILLs
Literature Reading and Evidence Synthesis,文献阅读与证据综合,faiss,Provides high-performance dense retrieval for paper collections.,为论文库提供高性能向量检索。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/15-rag/faiss,Orchestra-Research/AI-Research-SKILLs
Literature Reading and Evidence Synthesis,文献阅读与证据综合,sentence-transformers,"Generates embeddings for literature search, clustering, and retrieval.",生成用于文献检索、聚类和召回的语义向量。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/15-rag/sentence-transformers,Orchestra-Research/AI-Research-SKILLs
Visualization and Presentation,科研可视化与展示,huggingface-gradio,Builds Gradio web UIs and interactive research demos in Python.,用 Python 构建 Gradio Web UI 和交互式研究 demo。,https://github.com/huggingface/skills/tree/main/skills/huggingface-gradio,huggingface/skills
Visualization and Presentation,科研可视化与展示,huggingface-trackio,"Tracks training metrics, alerts, and dashboards with Hugging Face Trackio.",用 Hugging Face Trackio 跟踪训练指标、告警和可视化面板。,https://github.com/huggingface/skills/tree/main/skills/huggingface-trackio,huggingface/skills
Visualization and Presentation,科研可视化与展示,academic-plotting,"Generates publication-quality charts, ablations, and architecture figures.",生成论文级图表、消融图和架构图。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/20-ml-paper-writing/academic-plotting,Orchestra-Research/AI-Research-SKILLs
Visualization and Presentation,科研可视化与展示,presenting-conference-talks,Turns papers into Beamer or PPTX talk decks with speaker notes and scripts.,把论文整理成 Beamer 或 PPTX 报告，并附 speaker notes 和讲稿。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/20-ml-paper-writing/presenting-conference-talks,Orchestra-Research/AI-Research-SKILLs
Visualization and Presentation,科研可视化与展示,speech,"Generates narration, accessibility reads, and voiceovers via the OpenAI Audio API.",通过 OpenAI Audio API 生成旁白、无障碍朗读和配音音频。,https://github.com/openai/skills/tree/main/skills/.curated/speech,openai/skills
Visualization and Presentation,科研可视化与展示,imagegen,"Creates or edits bitmap figures, mockups, infographics, and visual assets.",生成或编辑位图视觉素材，适合论文插图、信息图、mockup 和 demo 资产。,https://github.com/openai/skills/tree/main/skills/.system/imagegen,openai/skills
Visualization and Presentation,科研可视化与展示,transformers-js,Runs Hugging Face models in JavaScript for browser-side demos and interactive artifacts.,在浏览器或 Node.js 中运行 Hugging Face 模型，适合网页 demo 和交互式研究产物。,https://github.com/huggingface/skills/tree/main/skills/transformers-js,huggingface/skills
Visualization and Presentation,科研可视化与展示,stable-diffusion,"Generates figures, concept art, and presentation assets for multimodal research.",为多模态研究生成插图、概念图和展示素材。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/18-multimodal/stable-diffusion,Orchestra-Research/AI-Research-SKILLs
"Data, Retrieval, and Experiment Tracking",数据、检索与实验追踪,jupyter-notebook,"Creates clean, reproducible Jupyter notebooks for experiments and tutorials.",创建结构清晰、可复现的 Jupyter Notebook。,https://github.com/openai/skills/tree/main/skills/.curated/jupyter-notebook,openai/skills
"Data, Retrieval, and Experiment Tracking",数据、检索与实验追踪,hf-cli,"Manages Hugging Face auth, repos, papers, datasets, buckets, jobs, and endpoints from the `hf` CLI.",用 `hf` CLI 管理 Hugging Face 认证、仓库、论文、数据集、bucket、jobs 和 endpoints。,https://github.com/huggingface/skills/tree/main/skills/hf-cli,huggingface/skills
"Data, Retrieval, and Experiment Tracking",数据、检索与实验追踪,huggingface-datasets,"Explores Dataset Viewer API metadata, rows, search, filters, parquet URLs, and statistics.",通过 Dataset Viewer API 浏览元数据、行数据、搜索、过滤、parquet 链接和统计信息。,https://github.com/huggingface/skills/tree/main/skills/huggingface-datasets,huggingface/skills
"Data, Retrieval, and Experiment Tracking",数据、检索与实验追踪,huggingface-community-evals,Adds and manages evaluation results in model cards and custom HF Hub evaluations.,把评测结果写入模型卡，并管理 HF Hub 上的自定义评测。,https://github.com/huggingface/skills/tree/main/skills/huggingface-community-evals,huggingface/skills
"Data, Retrieval, and Experiment Tracking",数据、检索与实验追踪,huggingface-tool-builder,Builds reusable scripts around the Hugging Face API for metadata collection and automation.,围绕 Hugging Face API 构建可复用脚本，用于元数据采集和自动化。,https://github.com/huggingface/skills/tree/main/skills/huggingface-tool-builder,huggingface/skills
"Data, Retrieval, and Experiment Tracking",数据、检索与实验追踪,huggingface-local-models,"Selects GGUF models, quantization levels, and llama.cpp commands for local inference.",选择 GGUF 模型、量化档位和 llama.cpp 命令，支持本地推理。,https://github.com/huggingface/skills/tree/main/skills/huggingface-local-models,huggingface/skills
"Data, Retrieval, and Experiment Tracking",数据、检索与实验追踪,ray-data,"Scales batch inference, preprocessing, and multimodal ETL from one machine to clusters.",把批量推理、预处理和多模态 ETL 从单机扩展到集群。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/05-data-processing/ray-data,Orchestra-Research/AI-Research-SKILLs
"Data, Retrieval, and Experiment Tracking",数据、检索与实验追踪,nemo-curator,"Curates training corpora with deduplication, quality filtering, PII redaction, and multimodal cleanup.",通过去重、质量过滤、PII 清洗和多模态清理构建训练语料。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/05-data-processing/nemo-curator,Orchestra-Research/AI-Research-SKILLs
"Data, Retrieval, and Experiment Tracking",数据、检索与实验追踪,weights-and-biases,"Tracks experiments, sweeps, artifacts, and model registries.",跟踪实验、超参搜索、产物和模型注册表。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/13-mlops/weights-and-biases,Orchestra-Research/AI-Research-SKILLs
"Data, Retrieval, and Experiment Tracking",数据、检索与实验追踪,mlflow,"Handles experiment tracking, model registry, deployment, and autologging workflows.",处理实验跟踪、模型注册、部署和 autologging 流程。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/13-mlops/mlflow,Orchestra-Research/AI-Research-SKILLs
"Data, Retrieval, and Experiment Tracking",数据、检索与实验追踪,tensorboard,"Visualizes scalars, embeddings, profiles, and training diagnostics.",可视化标量、嵌入、性能 profile 和训练诊断信息。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/13-mlops/tensorboard,Orchestra-Research/AI-Research-SKILLs
"Data, Retrieval, and Experiment Tracking",数据、检索与实验追踪,langsmith,"Adds tracing, evaluation, and monitoring to LLM research workflows.",给 LLM 研究工作流增加 tracing、评估和监控。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/17-observability/langsmith,Orchestra-Research/AI-Research-SKILLs
"Data, Retrieval, and Experiment Tracking",数据、检索与实验追踪,phoenix,"Provides open-source tracing, evaluation, and experiment analysis.",提供开源 tracing、评测和实验分析能力。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/17-observability/phoenix,Orchestra-Research/AI-Research-SKILLs
"Training, Evaluation, and Serving",训练、评测与部署,huggingface-llm-trainer,"Trains or fine-tunes language models with TRL on Hugging Face Jobs, including SFT, DPO, GRPO, and reward models.",在 Hugging Face Jobs 上用 TRL 训练或微调语言模型，覆盖 SFT、DPO、GRPO 和 reward model。,https://github.com/huggingface/skills/tree/main/skills/huggingface-llm-trainer,huggingface/skills
"Training, Evaluation, and Serving",训练、评测与部署,huggingface-vision-trainer,Trains detection and classification models with Transformers Trainer on Hugging Face Jobs or locally.,在本地或 Hugging Face Jobs 上用 Transformers Trainer 训练检测和分类模型。,https://github.com/huggingface/skills/tree/main/skills/huggingface-vision-trainer,huggingface/skills
"Training, Evaluation, and Serving",训练、评测与部署,axolotl,"Provides YAML-first fine-tuning workflows for LoRA, QLoRA, DPO, and multimodal training.",使用 YAML-first 工作流微调模型，覆盖 LoRA、QLoRA、DPO 和多模态训练。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/03-fine-tuning/axolotl,Orchestra-Research/AI-Research-SKILLs
"Training, Evaluation, and Serving",训练、评测与部署,llama-factory,Provides WebUI and CLI workflows for low-code fine-tuning across language and multimodal models.,提供 WebUI 和 CLI 的低代码微调流程，支持语言与多模态模型。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/03-fine-tuning/llama-factory,Orchestra-Research/AI-Research-SKILLs
"Training, Evaluation, and Serving",训练、评测与部署,unsloth,Accelerates LoRA and QLoRA fine-tuning with lower memory use for local experiments.,以更低显存和更高速度进行 LoRA/QLoRA 微调，适合本地实验。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/03-fine-tuning/unsloth,Orchestra-Research/AI-Research-SKILLs
"Training, Evaluation, and Serving",训练、评测与部署,peft,"Covers parameter-efficient fine-tuning with LoRA, QLoRA, DoRA, and adapters.",覆盖 LoRA、QLoRA、DoRA 等参数高效微调方法。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/03-fine-tuning/peft,Orchestra-Research/AI-Research-SKILLs
"Training, Evaluation, and Serving",训练、评测与部署,trl-fine-tuning,"Uses TRL for post-training workflows such as SFT, DPO, PPO, GRPO, and reward-model training.",用 TRL 完成 SFT、DPO、PPO、GRPO 和 reward model 等后训练流程。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/06-post-training/trl-fine-tuning,Orchestra-Research/AI-Research-SKILLs
"Training, Evaluation, and Serving",训练、评测与部署,grpo-rl-training,"Specializes in GRPO-based post-training for reasoning, verifiable tasks, and custom rewards.",面向推理、可验证任务和自定义奖励函数的 GRPO 后训练。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/06-post-training/grpo-rl-training,Orchestra-Research/AI-Research-SKILLs
"Training, Evaluation, and Serving",训练、评测与部署,lm-evaluation-harness,"Runs standardized LLM benchmarks such as MMLU, HumanEval, GSM8K, and TruthfulQA.",运行 MMLU、HumanEval、GSM8K、TruthfulQA 等标准 LLM benchmark。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/11-evaluation/lm-evaluation-harness,Orchestra-Research/AI-Research-SKILLs
"Training, Evaluation, and Serving",训练、评测与部署,bigcode-evaluation-harness,"Benchmarks code models with HumanEval, MBPP, MultiPL-E, and pass@k workflows.",用 HumanEval、MBPP、MultiPL-E 和 pass@k 流程评测代码模型。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/11-evaluation/bigcode-evaluation-harness,Orchestra-Research/AI-Research-SKILLs
"Training, Evaluation, and Serving",训练、评测与部署,nemo-evaluator,Runs reproducible multi-backend benchmarking across LLM and VLM benchmarks.,通过多后端流程做可复现的 LLM/VLM benchmark。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/11-evaluation/nemo-evaluator,Orchestra-Research/AI-Research-SKILLs
"Training, Evaluation, and Serving",训练、评测与部署,vllm,Serves LLMs with high-throughput inference and OpenAI-compatible endpoints.,以高吞吐方式部署大模型，并提供 OpenAI 兼容接口。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/12-inference-serving/vllm,Orchestra-Research/AI-Research-SKILLs
"Training, Evaluation, and Serving",训练、评测与部署,sglang,"Serves LLMs and VLMs with fast structured generation, prefix caching, and JSON/tool-calling workflows.",用结构化生成和前缀缓存服务 LLM/VLM，适合 JSON 和 tool-calling。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/12-inference-serving/sglang,Orchestra-Research/AI-Research-SKILLs
"Training, Evaluation, and Serving",训练、评测与部署,llama-cpp,"Runs quantized LLMs on CPUs, Apple Silicon, and non-CUDA hardware.",在 CPU、Apple Silicon 和非 CUDA 硬件上运行量化大模型。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/12-inference-serving/llama-cpp,Orchestra-Research/AI-Research-SKILLs
"Training, Evaluation, and Serving",训练、评测与部署,cuda-kernels,Guides optimized CUDA kernel writing and benchmarking for Hugging Face diffusers and transformers.,指导为 Hugging Face diffusers 和 transformers 编写、评测优化 CUDA kernel。,https://github.com/huggingface/kernels/tree/main/kernel-builder/skills/cuda-kernels,huggingface/kernels
Interpretability and Model Analysis,可解释性与模型分析,transformer-lens,"Supports mechanistic interpretability with HookPoints, activation caching, and causal tracing.",用 HookPoints、activation cache 和 causal tracing 研究 transformer 内部机制。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/04-mechanistic-interpretability/transformer-lens,Orchestra-Research/AI-Research-SKILLs
Interpretability and Model Analysis,可解释性与模型分析,saelens,Trains and analyzes sparse autoencoders for monosemantic feature discovery and superposition research.,训练和分析 sparse autoencoders，用于单义特征发现和 superposition 研究。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/04-mechanistic-interpretability/saelens,Orchestra-Research/AI-Research-SKILLs
Interpretability and Model Analysis,可解释性与模型分析,nnsight,"Runs local or remote interpretability experiments on PyTorch models, including very large models via NDIF.",在本地或 NDIF 远程环境中做可解释性实验，适合超大 PyTorch 模型。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/04-mechanistic-interpretability/nnsight,Orchestra-Research/AI-Research-SKILLs
Interpretability and Model Analysis,可解释性与模型分析,pyvene,"Performs causal interventions, activation patching, and interchange intervention training on PyTorch models.",在 PyTorch 模型上做因果干预、activation patching 和 interchange intervention training。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/04-mechanistic-interpretability/pyvene,Orchestra-Research/AI-Research-SKILLs
Research Artifacts and Reproducibility,研究产物与可复现性,ara-compiler,"Compiles papers, repos, logs, and notes into Agent-Native Research Artifacts with claims, evidence, and provenance.",把论文、代码仓库、实验日志和笔记编译成带 claims、evidence 和 provenance 的 Agent-Native Research Artifact。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/22-agent-native-research-artifact/compiler,Orchestra-Research/AI-Research-SKILLs
Research Artifacts and Reproducibility,研究产物与可复现性,ara-research-manager,"Records end-of-session research decisions, experiments, dead ends, and provenance into an ARA directory.",在会话结束时把研究决策、实验、失败路径和来源记录进 ARA 目录。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/22-agent-native-research-artifact/research-manager,Orchestra-Research/AI-Research-SKILLs
Research Artifacts and Reproducibility,研究产物与可复现性,ara-rigor-reviewer,"Reviews Agent-Native Research Artifacts for evidence relevance, falsifiability, scope, coherence, and rigor.",从证据相关性、可证伪性、范围、论证连贯性和方法严谨性审查 ARA。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/22-agent-native-research-artifact/rigor-reviewer,Orchestra-Research/AI-Research-SKILLs
